Text;Emotion;Translated_Text
i feel so pretty and glamorous;joy;aku merasa begitu cantik dan glamor
i asked feeling smug;joy;tanya saya merasa puas
ive ever worked on and i feel very privileged to work with such an amazing team;joy;Aku pernah bekerja dan aku merasa sangat beruntung bisa bekerja dengan tim yang luar biasa.
i feel i am beyond pissed off disappointed frustrated with myself;anger;i merasa saya di luar marah kecewa frustrasi dengan diriku sendiri
i feel left alone;sadness;i merasa ditinggalkan sendirian
i ain t shot a bitch since this morning so i m feelin a little gun horny;love;Aku tidak menembak jalang sejak pagi ini jadi aku merasa sedikit gun horny
i feel lonely i remember my moms saying;sadness;saya merasa kesepian saya ingat ibu saya mengatakan
i didnt cry but i was starting to feel neurotic so my sister who was amazingly chill that morning brought me an ativan;fear;Aku tidak menangis tapi aku mulai merasa gelisah jadi adikku yang luar biasa dingin pagi itu membawa saya ativan
i can t make myself feel joyful but i can focus on the positive;joy;aku tidak bisa membuat diriku merasa senang tapi aku bisa fokus pada positif
i do feel a little needy;sadness;aku merasa sedikit membutuhkan
i feel as the author is very passionate about his poem because when he wrote his poem he wrote from his feeling and history;joy;saya merasa sebagai penulis sangat bergairah tentang puisinya karena ketika ia menulis puisinya ia menulis dari perasaan dan sejarah
i instead feel restless;fear;aku malah merasa gelisah
i also feel proud of her;joy;aku juga merasa bangga padanya
i suppose thats wonderful because it means that they can learn so much so quickly and also make me feel like an idiot much the way i did to my parents when they couldnt figure out how to leave an outgoing message on the answering machine;joy;i suppose thats wonderful karena itu berarti bahwa mereka dapat belajar begitu banyak begitu cepat dan juga membuat saya merasa seperti idiot banyak cara yang saya lakukan untuk orang tua saya ketika mereka tidak bisa mencari tahu bagaimana meninggalkan pesan keluar pada mesin penjawab
i asked feeling slightly wimpy;fear;tanya saya merasa sedikit pengecut
i had for me to confess my feelings for her but still i couldnt bring myself to her for i was scared of losing her once more;fear;aku harus mengakui perasaanku padanya tapi aku masih tidak bisa membawa diriku padanya karena aku takut kehilangan dia sekali lagi
i know its the lot of the dumpee to feel slighted jealous unable to move on depressed angry and a whole bunch of other negative emotions that stem from the whole rejection and sometimes replacement involved in the break up process;anger;aku tahu itu banyak dumpee merasa sedikit cemburu tidak bisa bergerak pada depresi marah dan seluruh sekelompok emosi negatif lainnya yang berasal dari seluruh penolakan dan kadang-kadang diganti terlibat dalam proses putus
i feel lonely so unbearably crushingly lonely you are not the only one a href http creativeliar;sadness;i merasa kesepian begitu tak tertahankan menghancurkan kesepian Anda bukan satu-satunya href http kreatifier
i feel about putting on brave faces fuck that let s get real;joy;i feel about putting on brave faces fuck that lets get real
i was thinking about how you all were watching general conference and i was feeling a bit jealous;anger;Aku sedang berpikir tentang bagaimana kalian semua menonton konferensi umum dan aku merasa sedikit cemburu
i know and i feel that its time to wake up to be brave to change my perspective;joy;saya tahu dan saya merasa bahwa waktunya untuk bangun untuk menjadi berani untuk mengubah perspektif saya
i shall have to stay feeling neglectful of all things art related;sadness;saya harus tetap merasa lalai dari semua hal seni terkait
i also find that during those times when i feel victimized by his loss i dont feel him near me at all;sadness;i juga menemukan bahwa selama saat-saat ketika saya merasa korban oleh kehilangannya i dont merasa dia dekat saya sama sekali
i feel like everything i do i will make a mistake and i will be punished;sadness;aku merasa seperti semua yang aku lakukan aku akan membuat kesalahan dan aku akan dihukum
i mean i already did of course but i feel more glamourous naked now;joy;maksudku aku sudah melakukannya tentu saja tapi aku merasa lebih glamor telanjang sekarang
i feel decently intelligent;joy;i merasa sopan cerdas
i dont want to pretend i am someone and i am not because i dont feel comfortable;joy;saya tidak ingin berpura-pura saya seseorang dan saya bukan karena saya tidak merasa nyaman
i cherished and enjoyed i didn t have many friends in college and she was my first real friend that made me feel like i was accepted;love;i dihargai dan menikmati saya tidak memiliki banyak teman di perguruan tinggi dan dia adalah teman sejati pertama saya yang membuat saya merasa seperti saya diterima
i want to be positive in the morning i will need to convince my subconscious into believing i am feeling terrific;joy;saya ingin menjadi positif di pagi hari saya akan perlu meyakinkan alam bawah sadar saya untuk percaya saya merasa hebat
i feel helpless at the same time wherein practically no other option than to just sit and watch the drama;fear;i merasa tidak berdaya pada saat yang sama dimana hampir tidak ada pilihan lain selain hanya duduk dan menonton drama
i kind of struggled with it though and didnt feel like it was super powerful;joy;i jenis berjuang dengan itu meskipun dan tidak merasa seperti itu super kuat
i woke up this morning feeling like the unfortunate drain cover that a href http www;sadness;i bangun pagi ini merasa seperti saluran buruk penutup bahwa href http www
i just havent been taking much action in my life rather leaving it at status quo probably not a good idea but i feel that things exist at such a delicate balance that i am afraid if i lunge for what i want the whole thing will crumble and i will be worse off than before;love;saya hanya belum mengambil banyak tindakan dalam hidup saya daripada meninggalkannya pada status quo mungkin bukan ide yang baik tapi saya merasa bahwa hal-hal ada di seperti keseimbangan halus bahwa saya takut jika i paru-paru untuk apa yang saya ingin semuanya akan runtuh dan saya akan lebih buruk dari sebelumnya
i finally realized that all i needed was to be and feel useful and blogging allowed me to do that;joy;i akhirnya menyadari bahwa semua yang saya butuhkan adalah untuk menjadi dan merasa berguna dan blogging memungkinkan saya untuk melakukan itu
i go on these walks with my mother in the evenings i feel this frantic anxious energy from her as if shes losing her daughter and doesnt know how to win her back;fear;aku pergi berjalan-jalan dengan ibuku di malam hari aku merasa panik ini energi cemas dari dia seolah-olah dia kehilangan putrinya dan tidak tahu bagaimana untuk memenangkan kembali
i should feel awful about the nonexistence of gods;sadness;Aku harus merasa tidak enak tentang ketiadaan dewa.
i have been sneakily listen to x mas music since the beginning of october but now i feel as if it is a little more socially acceptable to prance around while eartha kitt s version of santa baby blares from my ipod;joy;Saya telah diam-diam mendengarkan musik x mas sejak awal oktober tapi sekarang saya merasa seolah-olah sedikit lebih diterima secara sosial untuk berjingkrak sekitar sementara bumi kitt s versi s dari santa bayi blares dari ipod saya
i miss them like crazy every time i think about them i feel a sense of melancholy a fervent yearning to see them to be by their side to know how they are doing;sadness;aku merindukan mereka seperti gila setiap kali aku berpikir tentang mereka aku merasakan perasaan melankolis kerinduan yang sungguh-sungguh untuk melihat mereka berada di sisi mereka untuk mengetahui bagaimana mereka lakukan
i feel a little overwhelmed;fear;aku merasa sedikit kewalahan
i feel that were like sweet couple;love;Aku merasa itu seperti pasangan yang manis.
i am yelling at my kids at the drop of a hat for no reason possess no energy to do anything just feeling irritable and sad about everything;anger;aku berteriak pada anak-anakku di drop topi tanpa alasan memiliki tidak ada energi untuk melakukan apa-apa hanya merasa marah dan sedih tentang segala sesuatu
i feel like ive been kinda listless;sadness;i merasa seperti ive telah agak lesu
i finished checking in bruce had already left and yiling was just leaving so i don t feel i had a chance to properly thank them for being so considerate and making sure we got settled in;joy;i selesai memeriksa di Bruce sudah pergi dan yiling baru saja pergi jadi saya tidak merasa saya punya kesempatan untuk benar berterima kasih kepada mereka untuk menjadi begitu perhatian dan memastikan kami punya menetap di
i did feel for her but honestly i was just too glad to have some kind of salvation from the merciless sun;joy;Aku memang merasa untuknya tapi jujur aku hanya terlalu senang untuk memiliki beberapa jenis keselamatan dari matahari tanpa ampun
i feel lethargic and do not really look forward to anything or take joy in anything and i kinda felt like that last night;sadness;saya merasa lesu dan tidak benar-benar melihat ke depan untuk apa pun atau mengambil sukacita dalam apa pun dan saya agak merasa seperti itu tadi malam
i didn t sleep well the night before and am not feeling half as brave as i was yesterday;joy;i didn t tidur nyenyak malam sebelumnya dan saya tidak merasa setengah berani seperti saya kemarin
i think about it with the anticipation i was feeling yesterday its kind of a miracle that i didnt like fake an injury or something just to be able to go to the hospital to see them;sadness;i berpikir tentang hal itu dengan antisipasi saya merasa kemarin semacam keajaiban bahwa saya tidak suka cedera palsu atau sesuatu hanya bisa pergi ke rumah sakit untuk melihat mereka
i also feel that the people in the village friendly and i do not need to be as alert as in manila though as the common sense rule still stays that is not to let your guard down;joy;i juga merasa bahwa orang-orang di desa ramah dan saya tidak perlu menjadi sebagai waspada seperti dalam manila meskipun sebagai aturan akal sehat masih tetap yang tidak membiarkan Anda lengah
i walk in the door to my house i feel happy;joy;i berjalan di pintu ke rumah saya merasa bahagia
i feel very deprived i feel like i did so many things right amp so many things just went wrong;sadness;saya merasa sangat kekurangan saya merasa seperti saya melakukan begitu banyak hal benar amp begitu banyak hal hanya pergi salah
i also feel useless and unfulfilled;sadness;aku juga merasa tidak berguna dan tidak puas
i am left feeling happy about having the time to rest and take care of me but at the same time this huge sense of guilt builds up inside of me for not having respected our date for being an unreliable teacher a selfish friend;joy;Aku merasa senang karena punya waktu istirahat dan mengurusku tapi pada saat yang sama perasaan bersalah besar ini menumpuk dalam diriku karena tidak menghormati kencan kita karena menjadi guru yang tidak dapat diandalkan seorang teman yang egois
i feel much better and without the help of ice;joy;i merasa jauh lebih baik dan tanpa bantuan es
i was just not feeling up to it for a few reasons but i am so glad to be back;joy;aku hanya tidak merasa sanggup untuk beberapa alasan tapi aku sangat senang bisa kembali
i have to admit that while the story itself was interesting in their portrayal of the well known biblical story i came away feeling a little disappointed with the end result especially considering the names involved;sadness;saya harus mengakui bahwa sementara cerita itu sendiri menarik dalam mereka menggambarkan cerita Alkitab yang terkenal saya datang pergi merasa sedikit kecewa dengan hasil akhir terutama mempertimbangkan nama-nama yang terlibat
i was feeling super pressed for time the other day i did cut back on the amount of time i meditated but i didn t skip it altogether;joy;i merasa super menekan waktu hari lain saya tidak memotong kembali pada jumlah waktu i bermeditasi tapi aku tidak melewatkan sama sekali
i reflect back on all the beer i drank i feel shamed;sadness;i merefleksikan kembali pada semua bir saya minum saya merasa malu
i am not feeling shitty about life anymore;sadness;aku tidak merasa buruk tentang hidup lagi
i feel when ever i listen to the msm main stream media deprived;sadness;i feel when ever i listen to the msm main stream media despire
i feel everything is in control then i am ok;joy;aku merasa semuanya terkendali lalu aku baik-baik saja
i sent her was pretty long and now i feel a little embarrassed looking back at the letter i gave her;sadness;Aku mengirimnya cukup lama dan sekarang aku merasa sedikit malu melihat kembali surat yang kuberikan padanya
i am feeling especially lively;joy;aku merasa sangat hidup
i have lost touch with the things that i feel passionate about i am getting less spontaneous am living by lists urgh;joy;aku telah kehilangan sentuhan dengan hal-hal yang aku merasa bergairah tentang aku mendapatkan kurang spontan am hidup dengan daftar urgh
i feel very distressed because i m supportive of this campaign and with the senator jackson told cnn;fear;i merasa sangat tertekan karena saya m mendukung kampanye ini dan dengan senator jackson mengatakan cnn
i know that i shouldnt have run around with his dirty socks on a stick like a flag for our friends to see no matter how angry or hurt i was feeling about the dirty laundry that he left me;sadness;saya tahu bahwa saya tidak seharusnya berjalan sekitar dengan kaus kakinya kotor pada tongkat seperti bendera untuk teman-teman kita untuk melihat tidak peduli seberapa marah atau sakit saya merasa tentang cucian kotor bahwa ia meninggalkan saya
i feel shitty because she quit a job to come here but there is only so much hand holding and training that i am willing to do;sadness;aku merasa tidak enak karena dia berhenti dari pekerjaan untuk datang ke sini tapi hanya ada begitu banyak tangan memegang dan pelatihan bahwa saya bersedia untuk melakukan
i manage to reach a conclusion after all my musings i feel somehow more resolved;joy;i berhasil mencapai kesimpulan setelah semua renungan saya saya merasa entah bagaimana lebih diselesaikan
i dont have to buy it in tubs which feels vile;anger;saya tidak harus membelinya di bak mandi yang merasa keji
i feel like a divorcee we were together so long and our separation was so messy;sadness;i merasa seperti perceraian kami bersama-sama begitu lama dan perpisahan kami begitu berantakan
i always tell people my brd armor sucks since i totally feel it does so i was amazed to see some of the crap some brds wear;surprise;Aku selalu bilang pada orang-orang baju besiku payah karena aku benar-benar merasakannya jadi aku kagum melihat beberapa pakaian kotor yang dipakai brds
im already feeling nostalgic about the san antonio spurs golden state warriors series and it hasnt even ended yet;love;aku sudah merasa nostalgia tentang san antonio memacu prajurit negara emas seri dan bahkan belum berakhir belum
i personally feel they are doomed to finish dead last in the nl central without this key cog to any championship team;sadness;i pribadi merasa mereka ditakdirkan untuk menyelesaikan mati terakhir di pusat NL tanpa ini roda kunci untuk setiap tim kejuaraan
i thought this is precisely why i m making the show because i feel very uncertain in the world;fear;i pikir ini adalah tepat mengapa i m membuat acara karena saya merasa sangat tidak pasti di dunia
i remember feeling bowled over and surprised by my own reaction at the tears welling up;surprise;i ingat merasa terpesona atas dan terkejut oleh reaksi saya sendiri pada air mata sumur up
i have been a procrastinator i have endless potential and passion inside yet im stuck in the cage of my own soul the unresolved feelings hurt resentment that i hold inside has built up even do i try to build myself back up again;sadness;aku telah menjadi seorang procrastinator aku memiliki potensi tak berujung dan gairah di dalam namun im terjebak dalam kandang jiwa saya sendiri perasaan sakit yang belum terselesaikan yang saya pegang di dalam telah dibangun bahkan saya mencoba untuk membangun diriku kembali lagi
ive been feeling vaguely dissatisfied with reel pros since i signed up a few weeks ago;anger;Aku sudah merasa tidak puas dengan rol pro sejak saya mendaftar beberapa minggu yang lalu
im feeling particularly generous;joy;Aku merasa sangat murah hati.
i went on to the holiday party that evening courtesy of another journalism sibling whom i call my big bro feeling a little unsure on why i was really attending;fear;i melanjutkan ke pesta liburan malam itu terima kasih dari saudara jurnalisme lain yang saya sebut bro besar saya merasa sedikit tidak yakin mengapa saya benar-benar menghadiri
i feel like this could be a dangerous topic if anyone feels passionately about pianos but its been on my mind for a while and i thought it was worth discussing not because im going to paint my piano which i grew up with so please stop hyperventilating mom;anger;i merasa seperti ini bisa menjadi topik yang berbahaya jika ada yang merasa bergairah tentang piano tapi itu sudah di pikiran saya untuk sementara waktu dan saya pikir itu layak dibahas bukan karena aku akan melukis piano saya yang saya dibesarkan dengan jadi silakan berhenti hiperventilasi ibu
i really only get inspired to write on this blog when im feeling shitty about life and i guess september being my birth month and all was pretty great;sadness;saya benar-benar hanya mendapatkan inspirasi untuk menulis di blog ini ketika saya merasa buruk tentang kehidupan dan saya kira september menjadi bulan kelahiran saya dan semua cukup besar
i feel like being selfish and keeping this foodie secret myself but why would i deny everyone else;anger;aku merasa seperti egois dan menjaga rahasia foodie ini sendiri tapi kenapa aku harus menyangkal orang lain
im not feeling too joyful about writing this blog because id rather be knitting;joy;aku tidak merasa terlalu senang menulis blog ini karena id lebih suka merajut
i am responsible for picking a man who on occasion reminds me of people from my past like my mom and i threaten myself i can break this pattern by conducting myself in a different way even when i feel scared because deep down i know he s a good man;fear;saya bertanggung jawab untuk memilih seorang pria yang kadang-kadang mengingatkan saya pada orang-orang dari masa lalu saya seperti ibu saya dan saya mengancam diri saya sendiri saya dapat melanggar pola ini dengan melakukan diri dengan cara yang berbeda bahkan ketika saya merasa takut karena dalam hati saya tahu dia adalah orang yang baik
i am right now i feel amused the sounds i hear are my aircleaner around me i see my bed and my cat i feel most connected to this person michael i think it s weird that im a mom;joy;saya sekarang saya merasa geli suara yang saya dengar adalah pembersih udara di sekitar saya saya melihat tempat tidur saya dan kucing saya saya merasa paling terhubung dengan orang ini Michael saya pikir aneh bahwa im seorang ibu
i feel so contented so fulfilled;joy;i merasa begitu puas begitu terpenuhi
ive somehow had a few epiphanies and toned down the need for validation its still a work in progress but i feel less need to be liked by people who dont deserve the attention;love;ive entah bagaimana memiliki beberapa epiphanies dan toned down kebutuhan untuk validasi masih bekerja dalam proses tapi saya merasa kurang perlu disukai oleh orang-orang yang tidak layak mendapatkan perhatian
i didn t feel relieved;joy;Aku tidak merasa lega.
i hate feeling dumb i hate people who make me feel dumb or like i am being a baby;sadness;aku benci merasa bodoh aku benci orang yang membuatku merasa bodoh atau seperti aku menjadi bayi
i know that i should feel some sort of melancholy but i don t;sadness;saya tahu bahwa saya harus merasa semacam melankolis tapi saya tidak
i would feel so excited waiting for the mailman to come to our house handing me these letters;joy;i akan merasa begitu bersemangat menunggu tukang pos untuk datang ke rumah kami menyerahkan surat-surat ini
i read in the book called the mindful woman that every so often throughout your day you should stop and close your eyes and think about anything that you can hear or see or smell or feel its kind of a cool experiment;joy;i membaca dalam buku yang disebut wanita sadar bahwa setiap begitu sering sepanjang hari Anda harus berhenti dan menutup mata Anda dan berpikir tentang apa pun yang Anda dapat mendengar atau melihat atau mencium atau merasa semacam percobaan keren
i feel so paranoid i don t want to feel like i did back then ever again;fear;i feel so paranoid i don t ingin merasa seperti yang saya lakukan kembali kemudian pernah lagi
i do feel like it is fine to have sex but you should be fully aware of what happen due to that action and know about different types of protection there is to prevent pregnancy;joy;i merasa seperti itu baik-baik saja untuk berhubungan seks tapi Anda harus sepenuhnya menyadari apa yang terjadi karena tindakan itu dan tahu tentang berbagai jenis perlindungan ada untuk mencegah kehamilan
i wanted that sacred experience to feel that divine communion with the god of my understanding i wanted to feel sublime love in sacred terms;joy;i ingin bahwa pengalaman suci untuk merasa bahwa persekutuan ilahi dengan dewa pemahaman saya saya ingin merasakan cinta agung dalam istilah suci
i worry theyll feel rejected or take my chosen plans as an insult;sadness;aku khawatir mereka akan merasa ditolak atau mengambil rencana pilihanku sebagai penghinaan
i was half feeling very irritated and just wanted to get out of a amp f lol;anger;aku setengah merasa sangat kesal dan hanya ingin keluar dari amp f lol
i feel i am writing this blog for selfish reasons but i know god can use it for his her purpose;anger;saya merasa saya menulis blog ini untuk alasan egois tapi saya tahu Tuhan dapat menggunakannya untuk tujuannya
i was in i could feel him and i hated the drawn tight feeling i had;anger;i berada di i bisa merasakan dia dan saya benci ditarik perasaan ketat saya punya
i still feel a craving for sweet food;joy;saya masih merasa keinginan untuk makanan manis
i love the wispy feeling of the delicate strands and the mellow green vibe;love;i love perasaan wispy dari untai halus dan getaran hijau mellow
i often feel disillusioned but i look upon it as a test of will and a test of character;sadness;i sering merasa kecewa tapi saya melihatnya sebagai tes kehendak dan tes karakter
i just feel terrified;fear;aku hanya merasa takut
i honestly have so much research to do and have to think of so many color schemes and how to implement organizational tips for small spaces that i feel more than overwhelmed with the intensity of this project however there is the masochist in me that is incredibly excited;surprise;saya benar-benar memiliki begitu banyak penelitian yang harus dilakukan dan harus memikirkan begitu banyak skema warna dan bagaimana untuk menerapkan tips organisasi untuk ruang kecil yang saya merasa lebih dari kewalahan dengan intensitas proyek ini namun ada masokis dalam diri saya yang sangat bersemangat
i flipped out at guys i feel terrible today i flipped out at guys i feel terrible a href http www;sadness;i membalik keluar pada cowok saya merasa buruk hari ini saya membalik pada orang saya merasa mengerikan href http www
i remember consistently feeling dissatisfied with my progress;anger;i ingat secara konsisten merasa tidak puas dengan kemajuan saya
i am hoping the running thing works out like the numerous success stories i have accumulated but so far i am not feeling hopeful today;joy;i am berharap hal berjalan bekerja keluar seperti banyak kisah sukses saya telah akumulasi tapi sejauh ini saya tidak merasa penuh harapan hari ini
im sure its a great film but i guess i wasnt feeling too appreciative and just had a long day;joy;aku yakin itu film yang hebat tapi aku kira aku tidak merasa terlalu menghargai dan hanya memiliki hari yang panjang
i have hurt so much and been told to stop so much that i suppose it all leaked into my brain and now i feel guilty when i hurt;sadness;Aku telah menyakiti begitu banyak dan diberitahu untuk berhenti begitu banyak yang saya kira itu semua bocor ke dalam otak saya dan sekarang saya merasa bersalah ketika saya sakit
i felt joy when i passed the worst phase in my life and discovered how many people considered me important to them;joy;i merasa senang ketika saya melewati fase terburuk dalam hidup saya dan menemukan berapa banyak orang menganggap saya penting bagi mereka
i sit around and i feel disillusioned with school;sadness;i duduk-duduk dan saya merasa kecewa dengan sekolah
i ever going to feel cute again;joy;Aku akan merasa manis lagi.
i feel like i have been faithful enough that i have proved myself and paid my dues but faith is not stagnate;joy;i merasa seperti saya telah cukup setia bahwa saya telah membuktikan diri dan membayar iuran saya tetapi iman tidak stagnate
i feel it is vital to make the most of that day and live it to our fullest potential;joy;i merasa sangat penting untuk membuat sebagian besar hari itu dan hidup itu untuk potensi sepenuhnya kita
i dunno i just feel that i started this blog a little shaky as i wasnt really sure about what sort of audience i was addressing or anything;fear;aku tidak tahu aku hanya merasa bahwa aku memulai blog ini sedikit gemetar karena aku tidak benar-benar yakin tentang apa jenis penonton saya berbicara atau apa pun
im feeling so pissed off that i wanna scream and shout at the wall facing me right now;anger;aku merasa sangat marah bahwa aku ingin berteriak dan berteriak di dinding menghadap saya sekarang
i want every woman to feel the kind of love from god that sheri shares in her letters from the king and i am positive that she does too;joy;saya ingin setiap wanita untuk merasakan jenis cinta dari Tuhan bahwa sheri saham dalam surat-suratnya dari raja dan saya positif bahwa dia juga
i feel more self assured but more than that i feel whole;joy;aku merasa lebih percaya diri tapi lebih dari itu aku merasa utuh
im loving the green in this picture but have a feeling i may be going with something a little more kid friendly;joy;Im mencintai hijau dalam gambar ini tetapi memiliki perasaan saya mungkin akan dengan sesuatu yang sedikit lebih ramah anak
i only have three words to describe my feelings after viewing them im not impressed;surprise;aku hanya punya tiga kata untuk menggambarkan perasaanku setelah melihatnya aku tidak terkesan
i got s and really i feel like i hit the lottery i was scared itd be something like x and id be screwed;fear;i got s dan benar-benar saya merasa seperti saya memukul lotre saya takut itu akan menjadi sesuatu seperti x dan id akan kacau
i feel overwhelmed when i think of a country suffering;fear;saya merasa kewalahan ketika saya memikirkan penderitaan negara
i feel i am wrongly punished or that my misbehavior was unavoidable i am allowed to argue over whether or not i should be punished or how severely;sadness;saya merasa saya salah dihukum atau bahwa kelakuan saya tidak dapat dihindari saya diperbolehkan untuk berdebat tentang apakah atau tidak saya harus dihukum atau seberapa parah
i am feeling very smug as i am continuing my resolution to use up some of this huge paper stack that i own and never cut into so heres the latest offering using more of my graphic curtain call papers;joy;saya merasa sangat puas karena saya terus resolusi saya untuk menggunakan beberapa ini tumpukan kertas besar yang saya sendiri dan tidak pernah dipotong jadi inilah penawaran terbaru menggunakan lebih banyak tirai grafis saya panggilan kertas
i found it hard to feel for any of the supporting cast who eventually became late night snacks for the vampires;love;i merasa sulit untuk merasa untuk salah satu pemeran mendukung yang akhirnya menjadi larut malam snack untuk vampir
im not feeling very supportive of the football team;love;Saya tidak merasa sangat mendukung tim sepak bola
i now use it not just at the end of yoga practice but also at the beginning or ending of a meditation or whenever i feel the need to offer myself an acknowledgment and reminder of my own divine origins;joy;i sekarang menggunakannya tidak hanya pada akhir praktek yoga tetapi juga di awal atau akhir meditasi atau setiap kali saya merasa perlu untuk menawarkan diri pengakuan dan pengingat asal ilahi saya sendiri
i do not feel frantic;fear;aku tidak merasa panik
im tired of feeling so lethargic;sadness;aku lelah merasa begitu lesu
i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever;sadness;i think Anda semua akan setuju bahwa merasa jari-jari kaki dan jari-jari pergi mati rasa mungkin salah satu perasaan yang paling tidak menyenangkan pernah
i really feel disturbed over all this mayhem as i have been to this heavenly vale twice and personally know all the ground realities;sadness;i benar-benar merasa terganggu atas semua kekacauan ini karena saya telah ke vale surgawi ini dua kali dan pribadi tahu semua realitas tanah
i feel like a lame bum bum in the sense of a behind not in the sense of a transient because i haven t been keeping up with others blogs;sadness;i merasa seperti gelandangan lumpuh dalam arti belakang tidak dalam arti sementara karena saya belum menjaga dengan blog lain
i had it in the bag because i was still feeling strong;joy;i telah dalam tas karena saya masih merasa kuat
i still go out sometimes but when i do i come home and cry i can feel how people look at me they know i am worthless too;sadness;saya masih pergi keluar kadang-kadang tapi ketika saya pulang saya pulang dan menangis saya bisa merasakan bagaimana orang melihat saya mereka tahu saya tidak berharga juga
i cant shake the im hiding how i feel about myself beneath a fab jacket vibe and this style doesnt mesh well with most of the clothes i wear;joy;i cant goyang im menyembunyikan bagaimana saya merasa tentang diri saya di bawah getaran jaket fab dan gaya ini tidak mesh baik dengan sebagian besar pakaian saya pakai
i do know is that even though its hard and sometimes we feel inadequate drained and like we cant go any further and just need a break even for a week or two;sadness;saya tahu bahwa meskipun sulit dan kadang-kadang kita merasa tidak memadai terkuras dan seperti kita tidak bisa pergi lebih jauh dan hanya perlu istirahat bahkan untuk satu atau dua minggu
i kept crying or feeling cranky;anger;i terus menangis atau merasa rewel
i is celebrated with great fan fare which happens to be january th or october nd disregarding here of course the rare sense of gandhigiri euphoria generated by an unexpected source such as munnabhai we come across the inescapable phrase which i feel has been much abused a hindu fanatic;sadness;Saya dirayakan dengan tarif penggemar besar yang kebetulan Januari th atau oktober mengabaikan di sini tentu saja rasa langka dari gandhiri euforia dihasilkan oleh sumber yang tak terduga seperti munnabhai kita menemukan frase tak terhindarkan yang saya merasa telah banyak disalahgunakan seorang fanatik hindu
i guess this is exactly what being feels like longing to go on adventure but at the same time feeling like you want to settle;love;i guess ini adalah persis apa yang terasa seperti kerinduan untuk pergi pada petualangan tapi pada saat yang sama merasa seperti Anda ingin menetap
i was around and feeling fearless and excited;joy;Aku ada di sekitar sini dan merasa tak kenal takut dan bersemangat
i feel like my printing classes at quiltcon particularly the one with lizzy brought me back to something that i felt so passionate about years ago but had pushed aside thinking i needed to pursue a more practical life;love;i merasa seperti saya mencetak kelas di quiltcon terutama satu dengan lizzy membawa saya kembali ke sesuatu yang saya merasa begitu bergairah tentang tahun yang lalu tapi telah mendorong ke samping berpikir saya perlu mengejar kehidupan yang lebih praktis
i feel like i am as fearful now as i was when i first threw my leg over the top tube after my surgery;fear;i merasa seperti saya sebagai takut sekarang seperti saya ketika saya pertama kali melemparkan kaki saya di atas tabung atas setelah operasi saya
i don t always have access to when i m feeling stressed which is usually the time i am most in need of the silence;sadness;i don t selalu memiliki akses ke ketika saya merasa stres yang biasanya waktu saya paling membutuhkan keheningan
ive heard a lot of folks share frustrations with feeling inadequate after seeing so many pictures of perfection in projects and homes through blogs and pinterest etc;sadness;ive mendengar banyak orang berbagi frustrasi dengan perasaan tidak memadai setelah melihat begitu banyak gambar kesempurnaan dalam proyek dan rumah melalui blog dan bunga dll
i want to feel playful and open and vulnerable and have a great time;joy;aku ingin merasa senang dan terbuka dan rentan dan bersenang-senang
i am feeling quite pleased with myself as this was something id never done before;joy;aku merasa cukup senang dengan diriku sendiri karena ini adalah sesuatu id tidak pernah dilakukan sebelumnya
i was canning tomatoes and feeling nostalgic;love;Aku sedang makan tomat dan merasa bernostalgia.
i feel embarrassed but i don t want others to take pity on me i have too much pride;sadness;saya merasa malu tapi saya tidak ingin orang lain untuk mengambil kasihan pada saya saya memiliki terlalu banyak kebanggaan
i feel like i am the only person who is not ecstatic to be here right now;joy;saya merasa seperti saya satu-satunya orang yang tidak gembira berada di sini sekarang
i feel a longing for the obsession;love;i merasa kerinduan untuk obsesi
i feel threatened by anyone i get this feeling that i want to kill someone;fear;saya merasa terancam oleh siapa pun saya mendapatkan perasaan ini bahwa saya ingin membunuh seseorang
i think whenever we moved to a new place i had to find some way to feel accepted;joy;i think setiap kali kita pindah ke tempat baru saya harus menemukan beberapa cara untuk merasa diterima
i feel like im doomed to forever be the girl that everyone sleeps with but that no one can love;sadness;aku merasa seperti ditakdirkan untuk selamanya menjadi gadis yang setiap orang tidur dengan tapi bahwa tidak ada yang bisa mencintai
im with her i feel terrific;joy;Im dengan dia saya merasa hebat
i feel super bad about it;joy;i merasa super buruk tentang hal itu
i feel a little bit more vital;joy;aku merasa sedikit lebih penting
i did not picture myself feeling shy in this class when i signed up for it;fear;i tidak membayangkan diriku merasa malu di kelas ini ketika saya mendaftar untuk itu
i never want her to feel the pain of struggle of suffering;sadness;saya tidak pernah ingin dia merasakan sakit perjuangan penderitaan
i cannot help but feel inspired and uplifted both by martinez himself and by his association with occupy wall street;joy;Saya tidak bisa membantu tetapi merasa terinspirasi dan terangkat baik oleh martinez sendiri dan oleh nya asosiasi dengan menempati wall street
im not sure if anyone else is like this but especially when im feeling low i dont particularly want to wear vintage clothing;sadness;saya tidak yakin apakah orang lain seperti ini tapi terutama ketika saya merasa rendah saya tidak terutama ingin memakai pakaian vintage
i trust he has a plan and if i stay true to and listen to the promptings in my heart i feel assured that everything will be okay and will be worked out for his plan;joy;aku percaya dia punya rencana dan jika aku tetap jujur dan mendengarkan saran dalam hatiku aku merasa yakin bahwa semuanya akan baik-baik saja dan akan bekerja untuk rencananya
